id,category,element_name,description,core_element,hl7_segment,required,cardinality,element_type,phin_vads_links,hl7_archive_processed_name,hl7_archive_processing_description,processing_rationale,column_length,repeating_field
26,conditional input,Chief Complaint/ Reason for Visit,Patient's self-reported chief complaint or reason for visit,Yes,"OBX-2, OBX-3, OBX-5.1",RE,[0.. *],TX,NA,Chief_Complaint_Text,"OBX-5 segments where:
* OBX-3 Observation Identifier is 8661-1 and/or 11292-0
* OBX-2 = ""TX"" or ""CWE"" or ""CW""

Select all non-null values and concatenate:
IF OBX-2=""TX"" then Chief_Complaint_Text = OBX-5.1
IF OBX-2=""CWE"" or ""CW"" then Chief_Complaint_Text = concatenate(OBX-5.9, OBX-5.2, OBX-5.5)","The CWE Chief Complaint type is a legacy format of Chief Complaint. It is being included to capture legacy data feeds.

The TX Chief Complaint is from PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(3000),Yes
27,conditional input,Chief Complaint/ Reason for Visit - Segment,"Patient's self-reported chief complaint or reason for visit; if sending system treated this as a coded element, the segment will be stored",Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. *],CWE,NA,Chief_Complaint_Segment,"Entire OBX segment where:
* OBX-3 Observation Identifier is 8661-1 and/or 11292-0
",The CWE Chief Complaint type is a legacy format of Chief Complaint. It is being included to capture legacy data feeds.,varchar(8000),Yes
27.1,conditional input,Chief Complaint/ Reason for Visit - Segment,"Patient's self-reported chief complaint or reason for visit; if sending system treated this as a coded element, the segment will be stored",Yes,"OBX-2, OBX-3, OBX-5.1",N/A,[0.. *],CWE,NA,Chief_Complaint_Combo,"Store Chief_Complaint_Code and Chief_Complaint_Description in this field, accounting for null values.

For Repeating Codes store the values using the following methodology:
Code Description;Code Description;…

Note the space between Code and Description","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(8000),Yes
28,conditional input,Chief Complaint/ Reason for Visit - Type,Describes if the chief complaint was sent as text or as a coded element,No,N/A,N/A,N/A,N/A,NA,Chief_Complaint_Type,"Stores the type of information reflected in the Chief_Complaint_Text field.

Acceptable values:  ""CWE"" or ""TX"" or ""CW"" or ""CWE/TX"" or ""CW/CWE"" or ""CW/TX""",CWE/TX should be used if both types of chief complaint data are present in a single message.,varchar(20),Yes
29,calculated,Calculated Chief Complaint,Calculated field that stores the patient's reported chief complaint as well as the admit reason from the physician,No,N/A,N/A,N/A,N/A,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.909,C_Chief_Complaint,"Hierarchically defined (select first non-null):
* Chief_Complaint_Text
* Admit_Reason_Description","Rather than concatenating (and potentially affecting binning in ESSENCE), use this field to store a non-null value that can be passed to ESSENCE for binning.  Hierarchically defined order will place the first non-null value in this field.

Current ESSENCE binning does not scan for codes; however, if a code has a letter in it, that letter may affect binning (for example, if N appeared in a code, that would be read as nausea by the binning logic). Therefore, current processing includes only descriptive text for chief complaint or admit reason.
",varchar(8000),N/A
30,calculated,Calculated Chief Complaint - Source,Stores the source(s) of the calculated chief complaint field,No,N/A,N/A,N/A,N/A,NA,C_Chief_Complaint_Source,"Select the value that populated C_Chief_Complaint.  Valid Values:
* Chief_Complaint_Text
* Admit_Reason_Description
* null (if C_Chief_Complaint is null)",Capture the source(s) of the C_Chief_Complaint field.,varchar(200),N/A
32,conditional input,Age - Calculated (from message),Numeric value of patient age at time of visit - number,No,NA,NA,NA,NM,NA,Age_Calculated,"OBX-5 segment where OBX-3 segment ID '29553-5'

NOTE: If the Age Calculated measurement reported does not ""fit"" into the decimal(6,2) datatype, the measurement will not be stored in Age_Calculated. The string value of the measurement will still be stored in Str_Age_Calculated.","Not supported by PHIN Guide
Supported by HL7","decimal(6,2)",No
32,conditional input,Age - Calculated (from message),Numeric value of patient age at time of visit - number,No,NA,N/A,NA,NM,NA,Str_Age_Calculated,"OBX-5 segment where OBX-3 segment ID '29553-5' 

Stored as a String in the database","Not in PHIN guide; 
Still supported in HL7 however the PHIN guide does not.",varchar(10),No
33,conditional input,Age Units - Calculated (from message),Patient Age at time of visit - age units,No,NA,NA,NA,CE,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3402,Age_Units_Calculated,OBX-6.2 segment where OBX-3 segment ID '29553-5',"Not in PHIN guide; 
Still supported in HL7 however the PHIN guide does not.",varchar(50),No
34,conditional input,Age - Reported (from message),Numeric value of patient age at time of visit - number,Yes,"OBX-2, OBX-3, OBX-5",RE,[0.. 1],NM,NA,Age_Reported,"OBX-5 segment where OBX-3 observation identifier of 21612-7 AGE-REPORTED (LOINC) and OBX-2 Value Type=""NM""

NOTE: If the Age Reported measurement reported does not ""fit"" into the decimal(6,2) datatype, the measurement will not be stored in Age_Reported. The string value of the measurement will still be stored in Str_Age_Reported.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)","decimal(6,2)",No
34,conditional input,Age - Reported (from message),Numeric value of patient age at time of visit - number,Yes,"OBX-2, OBX-3, OBX-5",N/A,[0.. 1],NM,NA,Str_Age_Reported,"OBX-5 segment where OBX-3 observation identifier of 21612-7 AGE-REPORTED (LOINC) and OBX-2 Value Type=""NM"" 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(10),No
35,conditional input,Age Units - Reported (from message),Patient Age at time of visit - age units,Yes,"OBX-2, OBX-3, OBX-6",RE,[0.. 1],CE,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3402,Age_Units_Reported,"OBX-6.2 segment where OBX-3 observation identifier of 21612-7 AGE-REPORTED (LOINC) and OBX-2 Value Type=""NM""","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
36,direct input,Date/Time of Birth,Date of birth for patient,No,PID-7.1,O,[0.. 1],TS,NA,Birth_Date_Time,"Direct input from HL7 message
PID-7.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
36,direct input,Date/Time of Birth,Date of birth for patient,No,PID-7.1,N/A,[0.. 1],TS,NA,Str_Birth_Date_Time,"Direct input from HL7 message
PID-7.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(100),No
37,calculated,Calculated Age (Years),Calculated patient age in Years,No,N/A,N/A,N/A,N/A,NA,C_Patient_Age_Years,"Resolve the value returned in C_Patient_Age into a normalized Years value. The age of the patient should round down to the nearest Integer.

* If C_Patient_Age_Units begins with an M we will divide that value by 12 and round down.
* If C_Patient_Age_Units begins with a W we will divide that value by 52 and round down.
* If C_Patient_Age_Units begins with a D we will divide that value by 365 and round down.
* If C_Patient_Age_Units begins with a Y or ANNUM we will round down to the nearest whole number.

NOTE: The age calculation does not account for leap years at this time. This means the C_Patient_Age may be incorrect for patients with close birth dates and visit dates.",This field will store a normalized age for quicker analysis,int,N/A
38,calculated,Calculated Age,Calculated patient age,No,N/A,N/A,N/A,N/A,NA,C_Patient_Age,"Select the first non-null value from:
* C_Visit_Date - Birth_Date**
* Age_Reported 
* Age_Calculated 

** when performing the calculation, store the numeric year value if the value >= 2 years (round down to the nearest integer); else, store the number of months and round down to the nearest integer (i.e., 4.9 rounds to 4; 5.2 rounds to 5). If the number resolved is greater than 150 years the Birth_Date_Time column will be set to NULL and the calculation will continue down the hierarchy to Age_Reported or Age_Calculated.",As Age_Reported is the current standard we will check that before falling back on Age_Calculated.,varchar(10),N/A
38,calculated,Calculated Age - Units,Calculated patient age - units,No,N/A,N/A,N/A,N/A,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3402,C_Patient_Age_Units,Units associated with the calculated patient age.,"As Age_Reported is the current standard we will check that before falling back on Age_Calculated.

 If the source is the visit-birth calculation, store years if the value is >= 2 years, else store months.  For Age_Reported or Age_Calculated, store Age_Units_Reported or Age_Units_Calculated.",varchar(50),N/A
39,calculated,Calculated Age - Source,Source of the calculated patient age,No,N/A,N/A,N/A,N/A,NA,C_Patient_Age_Source,"Source used to populate C_Patient_Age.  Value set includes:
* ""Processed""
* ""Reported""
* ""Calculated""",NA,varchar(15),N/A
40,direct input,Patient Class - Code,Patient classification within a facility - code,Yes,PV1-2.1,R,[1.. 1],IS,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3404,Patient_Class_Code,"Direct input from HL7 message
PV1-2.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(20),No
41,conditional input,Facility/Visit Type - Code,Type of facility that the patient visited for treatment - Code,Yes,"OBX-2, OBX-3, OBX-5.1",R,[1.. 1],CWE,https://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3401,Facility_Type_Code,"OBX-5 Segment where
* OBX-3 Observation Identifier SS003^Facility/visit type
* OBX-2=""CWE""

Populate this field with only the OBX-5.1 values (code)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(50),No
42,conditional input,Facility/Visit Type - Description,Type of facility that the patient visited for treatment - Description,Yes,"OBX-2, OBX-3, OBX-5.2",R,[1.. 1],CWE,NA,Facility_Type_Description,"OBX-5 Segment where
* OBX-3 Observation Identifier SS003^Facility/visit type
* OBX-2=""CWE""

Populate this field with only the OBX-5.2 values (descriptions)","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(600),No
43,conditional input,Facility/Visit Type - Segment,Type of facility that the patient visited for treatment - Segment,Yes,"OBX-2, OBX-3, OBX-5",N/A,[1.. 1],CWE,NA,Facility_Type_Segment,"Entire OBX Segment where
* OBX-3 Observation Identifier SS003^Facility/visit type
* OBX-2=""CWE""

Populate this field with the entire OBX-5 segment","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(800),No
44,calculated,Inferred Patient Class,The inferred patient class from the facility type,No,N/A,N/A,N/A,N/A,NA,C_FacType_Patient_Class,"Perform calculation based on another database variable.

IF Facility_Type_Code is null then C_FacType_Patient_Class is null
ELSE IF Facility_Type_Code=261QE0002X then C_FacType_Patient_Class=E
ELSE IF Facility_Type_Code=1021-5 then C_FacType_Patient_Class=I
ELSE IF Facility_Type_Code=261QM2500X then C_FacType_Patient_Class=O
ELSE IF Facility_Type_Code=261QP2300X then C_FacType_Patient_Class=O
ELSE IF Facility_Type_Code=261QU0200X then C_FacType_Patient_Class=O",Contains a mapping of facility type to a patient class.,varchar(3),N/A
45,calculated,Calculated Patient Class,Calculated patient class,No,N/A,N/A,N/A,N/A,NA,C_Patient_Class,"Calculated patient class is set to: 
1) Patient_Class_Code (PV1-2) if it is non-null AND valid according to the PHIN standard (D, E, I, V, B, O, P, R)
2) ELSE use a mapped Patient_Class_Code (PV1-2), if non-null AND not valid AND one of the following mapped values: 
    - Emergency: E 
    - Inpatient: I 
    - Observation: V
     - EMER: E 
    - EMERGENCY: E
    - INPATIENT: I
    - HOS: I
    - OBSERVE: V
    - Emergency Department: E
    - Outpatient: O
    - ICU: I
     - Obsv: V
     - OUTPATIENT: O
     - ER: E
3) ELSE use C_FacType_Patient_Class
4) ELSE assign class value based on the inferred patient class associated with the primary entry on the MFT (C_MFT_Patient_Class).  (Requires a look-up to the MFT table for the entry flagged as primary with Site_ID-C_Facility_ID; return the Inferred_Patient_Class value matching that entry)",Hierarchy was determined to rely on the message but return an MFT value if all else fails to have a non-null patient class.,varchar(3),N/A
46,calculated,Patient Class from MFT,Patient Class associated with the primary facility from the MFT that matches the facility ID from incoming data,No,N/A,N/A,N/A,N/A,http://phinvads.cdc.gov/vads/ViewValueSet.action?oid=2.16.840.1.114222.4.11.3404,C_MFT_Patient_Class,"Return the default patient class for the facility from the MFT (i.e., return the patient class associated with the primary entry for the matching facility)",NA,varchar(10),N/A
47,calculated,Calculated Patient Class - Source,Source of the information contained within the calculated patient class field,No,N/A,N/A,N/A,N/A,NA,C_Patient_Class_Source,"Documents the source of the calculated patient class variable 
Valid Values:
* PV1 if C_Patient_Class populated from PV1-2.1 (Patient_Class_Code)
* OBX if C_Patient_Class populated from C_FacType_Patient_Class
* MFT if C_Patient_Class set from primary entry on MFT (C_MFT_Patient_Class)",NA,varchar(3),N/A
48,direct input,Event Facility / Facility Identifier (Treating),Unique Facility identifier where the patient was treated (original provider of the data),Yes,EVN-7.2,R,[1.. 1],HD,NA,Treating_Facility_ID,"Direct input from HL7 message
EVN-7.2","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)
",varchar(200),No
49,conditional input,Sending Facility,Facility sending the message,No,"MSH-4.1, MSH-4.2",R,[0.. 1],HD,NA,Sending_Facility_ID,"Direct Input from HL7 Message: 
MSH-4.2 
MSH-4.1

Select the first non-null value","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Using the MSH-4.1 is a decision based on legacy decisions to ensure old data is properly captured.",varchar(200),No
50,calculated,Facility ID - Source,Source of the calculated facility ID,No,N/A,N/A,N/A,N/A,NA,C_Facility_ID_Source,"Return the source of the C_Facility_ID value.  Valid values:
* EVN-7.2
* MSH-4.2
* MSH-4.1",NA,varchar(10),N/A
51,calculated,Facility ID,Calculated Facility ID tied to the message,No,N/A,N/A,N/A,N/A,NA,C_Facility_ID,"Return the first non-null and valid value:
* Treating_Facility_ID (EVN-7.2)
* Sending_Facility (MSH-4.2 else 4.1)
Prepend winning Facility ID with the SiteID of the current record.

A valid value is one that is found on the MFT/Crosswalk:
* Compare the facility value to the Facility IDs associated with the site associated with the message; if it exists then set C_Facility_ID to that facility value, store the source of that calculation in C_Facility_ID_Source. Note that if the winning facility ID is an invalid status (for example it is set to Planned) this regard will still exception even if the MSH-4 is valid and a valid status.

If no valid values are found, set C_Facility_ID = the first non-null value, store the source of that value, and write the record to the Exceptions table.",Hierarchy was determined to be as accurate as possible.,varchar(200),N/A
52,calculated,Sending Facility,Source of the Sending Facility check (MSH-4.2 vs MSH-4.1),No,NA,NA,NA,N/A,NA,Sending_Facility_ID_Source,"Return the source of the Sending_FacilityID value.  Valid values:
* MSH-4.2 
* MSH-4.1",Record which component was selected between MSH-4.2 and MSH-4.1 in Sending_FacilityID,varchar(10),No
53,calculated,Processed Facility ID,Facility ID including a patient class,No,N/A,N/A,N/A,N/A,NA,C_Processed_Facility_ID,"Concatenate the following fields, using no separator:
* C_Facility_ID (includes Site_ID)
* C_Patient_Class",NA,varchar(300),N/A
54,direct input,Admit or Encounter Date/ Time,Date and time of encounter for admission,Yes,PV1-44.1,R,[1.. 1],TS,NA,Admit_Date_Time,"Direct input from HL7 message
PV1-44.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
54,direct input,Admit or Encounter Date/ Time,Date and time of encounter for admission,Yes,PV1-44.1,N/A,[1.. 1],TS,NA,Str_Admit_Date_Time,"Direct input from the HL7 message
PV1-44.1

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
55,direct input,Discharge or Disposition Date/Time,Date and time of discharge,Yes,PV1-45.1,RE,[1.. 1],TS,NA,Discharge_Date_Time,"Direct input from HL7 message
PV1-45.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
55,direct input,Discharge or Disposition Date/Time,Date and time of discharge,Yes,PV1-45.1,N/A,[1.. 1],TS,NA,Str_Discharge_Date_Time,"Direct input from HL7 message
PV1-45.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
56,direct input,Date/Time of the Observation,Earliest date and time associated with the observation,No,OBX-14,O,[0.. 1],TS,NA,Observation_Date_Time,"Direct input from HL7 message
OBX-14

If repeating, select the earliest date.",It is possible to receive historic data here. For example if Height was taken from a previous appointment the recording system may simply reuse that OBX segment in the new visit while retaining the same OBX-14 from when it was initially recorded. While we should ingest it we should be cautious in using it for C_Visit_Date,datetime2,No
57,direct input,Procedure Date/Time,Date and time of the procedure,No,PR1-5.1,R,[1.. 1],TS,NA,Procedure_Date_Time,"Direct input from HL7 message
PR1-5.1

If repeating, select the earliest date.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
57,direct input,Procedure Date/Time,Date and time of the procedure,No,PR1-5.1,N/A,[1.. 1],TS,NA,Str_Procedure_Date_Time,"Direct input from HL7 message
PR1-5.1 

If repeating, select the earliest date.

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
58,direct input,Patient Death Date and Time,Date and time of patient's death,NA,PID-29.1,CE,[0.. 1],TS,NA,Death_Date_Time,"Direct input from HL7 message
PID-29.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
58,direct input,Patient Death Date and Time,Date and time of patient's death,NA,PID-29.1,N/A,[0.. 1],TS,NA,Str_Death_Date_Time,"Direct input from HL7 message
PID-29.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
59,direct input,Message (Event) Date/Time (Recorded Date/Time),Date and time that the report is created/generated from original source (from treating facility),Yes,EVN-2.1,R,[1.. 1],TS,NA,Recorded_Date_Time,"Direct input from HL7 message
EVN-2.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
59,direct input,Message (Event) Date/Time (Recorded Date/Time),Date and time that the report is created/generated from original source (from treating facility),Yes,EVN-2.1,N/A,[1.. 1],TS,NA,Str_Recorded_Date_Time,"Direct input from HL7 message
EVN-2.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
60,direct input,Date/Time of Message,Date and time that the message is sent,NA,MSH-7.1,R,[1.. 1],TS,NA,Message_Date_Time,"Direct input from HL7 message
MSH-7.1","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",datetime2,No
60,NA,Date of Message,Date of Message,NA,MSH-7.1,R,[1.. 1],TS,NA,Message_Date,Date portion of Message_Date_Time,NA,date,No
60,direct input,Date/Time of Message,Date and time that the message is sent,NA,MSH-7.1,N/A,[1.. 1],TS,NA,Str_Message_Date_Time,"Direct input from HL7 message
MSH-7.1 

Stored as a String in the database","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)",varchar(24),No
61,direct input,Diagnosis Date/Time,Date and time of the diagnosis,No,DG1-5,O,[0.. 1],TS,NA,Diagnosis_Date_Time,"Direct input from HL7 message
DG1-5.1

If repeating, select the earliest date.","PHIN Messaging Guide for Syndromic Surveillance, Release 2.0 (April 2015)

Return the earliest date/time to select the first occurrence.",datetime2,No
